Unit,Unit_code,Overview,Outcomes,Prerequisite,Course,Course_code
Bioinformatics 1: Introduction,BINF6000,"This course aims to provide students from a broad range of backgrounds with an introduction to bioinformatics, an emerging discipline that is transforming how we make discoveries in molecular bioscience. The course develops both theoretical and practical skills in bioinformatics, with an emphasis on the extraction and analysis of data, driven by current technologies. The course aims to equip students with a working knowledge of computing methodology relevant to the biosciences, including the use of databases, the automation of","Explain molecular biology and biological concepts that underpin the discipline of bioinformatics, and understand the capacity of bioinformatics in maximising biological discovery.

To support this objective the course starts with a series of introductory and context-setting lectures.| Describe what type of biological data that are available publicly, which are used by bioinformatics practitioners; how they are organized (broadly), how automated searching in them is facilitated, and how discoveries can be made using statistics.

To support this objective, the course refers to lecture material, text material, and practical exercises.| Explain the basic concepts of using biological sequences (DNA, RNA and protein) as strings of information, what these sequences represent, and how they can be viewed and analysed.

To support this objective, the course refers to lecture material, text material, and multiple practical exercises, that illustrate the many facets of biological sequence.| Use, describe and/or implement methods for finding patterns in biological sequences, and what classes of computational approaches operate on biological sequence data in general; describe and/or implement methods for aligning and comparing similar sequences; describe the biological facts relevant to biological sequence analysis as distinct from generic string analysis.

To support this objective, the course refers to lecture material, text material, and multiple practical exercises and workshops that illustrate practical issues with processing sequence data.| Understand basic phylogenetics and its relevance to study the historical (evolutionary) processes that underlie sequence change.

To support this objective, the course introduces basic concepts in biology by way of lectures, refers to both theoretical and practical text material, and practical exercises and workshops with computers.| Understand the key technologies for generating biological data, and the data types they produce, e.g. sequencing technology, techniques for measuring gene expression, proteomics and technologies for structural biology; explain various biological data types, including biological networks in different forms, e.g. protein-protein interactions, regulatory and metabolic pathways.

To support this objective, when bioinformatics approaches are introduced, technologies that generate the data are discussed broadly in lectures, and their data types are handled in practical, computer lab work.","NA",Master of Data Science,MDataSc
Introduction to Proteins & Nucleic Acids,BINF6001,"This course is designed to enable bioinformatics students without a solid background in biochemistry and molecular genetics to gain an understanding of important classes of biomolecules and their roles in biological processes. This will be studied at the molecular level with an emphasis on structure determining function. The course will be in two modules: (1) the proteins with coverage of their identification, structural characterization, functional analysis, and the concept of conservation of protein folding and function; and (2) the nucleic acids with coverage of the basic concepts of molecular genetics involving DNA, RNA, and proteins, and higher level concepts in epigenetics, genomics, biotechnology and molecular breeding.","Describe the chemical and physical forces driving biomolecular folding and  interactions, then apply this knowledge to analysis of structures and functions of biomolecules.| Describe cellular production and manipulation of biomolecules.| Interpret and analyse enzymatic function and kinetics.| Predict the impact of altering the components of a metabolic pathway.| Relate observed biological phenomena to key underlying concepts of biochemistry.| Reflect on skills gained in the course","NA",Master of Data Science,MDataSc
Bioinformatics 2: Development & Research,BINF7000,"Advanced Bioinformatics equips the student with the interdisciplinary knowledge and skills necessary to meet the data-centred challenges and demands of modern-day biology, with emphasis on genomics. Methods and algorithms for uncovering patterns in biological data of different forms are discussed, and in several cases developed, implemented and applied to representative problems. The student develops both theoretical and practical skills, allowing them to solve real bioinformatics problems by computer programming.","Analyse scientific data and apply appropriate abstractions for different scientific problems, i.e. display problem solving skills of a professional bioinformatician, at the interface between biology and computer science| Comprehend different, representative types of bioinformatics applications and technologies. This includes practical and theoretical knowledge of topics such as sequence and phylogenetic analysis, gene expression analysis, genome sequencing and variant calling, genome annotation and analysis, gene ontology, models of gene regulation, and systems biology. This includes genomic and proteomic technologies, and their inherent properties and limitations.| Understand the scope and limitations of computational approaches, in both theory and practice, for (a) analysing, integrating and interpreting biological sequence data; (b) the discovery of structural and functional features from a range of data sources; and (c) the design and formulation of models of biological phenomena at a molecular level. This includes familiarity of topics such as machine learning, probability theory, statistical analysis, all of which are widely used in science.| Carry out practical computer-based work in bioinformatics, utilising the iterative design process of observed biology and computational approach as an effective model for understanding biology, and accurately document such research-centred work. This includes programming, scripting solutions to problems, data processing pipelines, and other data analyses/evaluation.",BINF6000,Master of Data Science,MDataSc
Advanced Genome Informatics,BINF7001,"Advanced Genome Informatics will equip students with the knowledge and practical computing skills necessary to undertake a wide range of genome scale analyses using data produced by next generation sequencing (NGS) technologies. The background lectures will introduce current approaches for analyzing genome and transcriptome data including read mapping, de novo assembly, visualization, and phylogenomics. There will be an emphasis in developing good practice in experimental design and understanding the principles that underpin the commonly used analysis tools. The course consists of four parts: i) Read mapping and NGS data types,  ii) metagenomic analysis, iii) de novo assembly and phylogenomics and iv) Human genomics and functional annotation. Throughout the course students will learn practical genome informatics in a series of computer-based practicals using real NGS data, unix command-line tools and high performance computing resources.",Appraise the theory and practice of genome informatics and be prepared to apply these methods to address current problems in the field.| Compare the different types of available genomic and transcriptomic data and critique the general approaches used to analyse these.| Examine the principles of sequence alignment to the practical problem of mapping reads to a reference sequence.| Judge the approaches required for the analysis of metagenomic data.| Appraise the principles underpinning common de novo assembly approaches.| Explain the approaches required for phylogenomic analysis of sequence data.| Describe the approaches required for genomic analysis and functional annotation of human genomic sequence data.,BINF6000,Master of Data Science,MDataSc
Artificial Intelligence,COMP3702,"Methods and techniques within the field of artificial intelligence, including topics on search, reasoning and planning with certainty, decision-making under uncertainty, learning to act and reasoning about other agents. Specific emphasis on the practical utility of algorithms and their implementation in software.","Describe the core theoretical and conceptual frameworks, methods and practices which form the basis of artificial intelligence.| Explain the properties and functions of a range of different artificial intelligence methods and to be able to connect a method to appropriate theoretical foundations.| Effectively solve problems relating to artificial intelligence topics and applications discussed in class and in the literature.| Implement techniques and methods from artificial intelligence using a high-level programming language.| Effectively formulate real-world problems as problem representations solvable by existing techniques in artificial intelligence.","CSSE1001, ENGG1001",Master of Data Science,MDataSc
Pattern Recognition and Analysis,COMP3710,"Understanding patterns in our environment is an important cognitive ability. The development of recognition and automated algorithms that are able to process copious amounts data without (or with limited) human intervention is critical in replicating this ability in machines. This course will cover the fundamentals of creating computational algorithms that are able to recognise and/or analyse patterns within data of various forms. Topics and algorithms will include fractal geometry, classification methods such as random forests, recognition approaches using deep learning and models of the human vision system. Python and stat-of-the-art packages like Tensorflow will be used as a mechanism for students to study patterns in nature, noise and data from various real-worlds sources, such images, social media and biomedical signals.","Demonstrate their mathematical theory of patterns such as symmetry groups and fractal geometry| Extract and interpret patterns that exist in data and for solving recognition problems| Make use of different transform domains and dimensionality reduction in identifying patterns| Distinguishing when to apply and make use of decision trees to various large datasets| Distinguishing when to apply and make use of convolutional neural networks| Demonstrate the ability to develop algorithms, while applying appropriate software engineering principles| Develop heterogeneous computing solutions using industry grade software packages such as Tensorflow, JAX or PyTorch| Effectively communicate (using oral and written communication and appropriate figures and visualisations) the purpose, operation, technical functionality and research directions related to a pattern recognition algorithm","MATH1051, MATH1071, CSSE1001, ENGG1001",Master of Data Science,MDataSc
Digital Health Software Project,COMP3820,"This course will help you learn the basic fundamentals of digital health technology through hands-on experience, and through exposure to the real-world use of data and informatics in the health industry. The course includes a MOOC component that provides a broad introduction to healthcare informatics. There will also be a number of guest lecturers from industry talking about how digital health is used in their work. A major part of the course is composed of a group software project building a FHIR app for use in a clinical (or clinical education) setting, with real-world clients. FHIR (Fast Healthcare Interoperability Resources) is the new standard for sharing health data that is revolutionising how clinicians and patients are interacting with digital technology and has been adopted by major global IT companies (e.g. Apple, Google, Microsoft, etc.) and digital health vendors (e.g. Cerner, EPIC, etc.). Be at the forefront of healthcare application development by learning about and developing new FHIR and SMART-on-FHIR applications in collaboration with CSIRO Australian e-Health Research Centre, Georgia Tech University (USA) and UQ Faculty of Medicine and Faculty of Health and Behavioural Sciences.","Describe and discuss aspects of the digital health landscape, such as the use of health data, comparisons between international healthcare systems' use of data, and implications of the way data is used| Analyse and examine user requirements for a digital healthcare application in order to select appropriate tools, technologies and techniques to design and implement a solution| Apply Human-Computer Interaction/User-Experience Design techniques to the design of a digital healthcare application, and where applicable, analyse and respond to design issues that arise in the design process| Develop a digital healthcare application using the FHIR (Fast Healthcare Interoperability Resources) standard, and where applicable, integrate the healthcare application into a larger healthcare informatics environment using interoperability standards| Apply collaboration skills to work effectively with others in a team towards shared project goals, while managing individual work","CSSE1001, CSSE7030, ENGG1001, CSSE2002, CSSE7023, DECO1400, DECO7140, DECO2500, DECO7250",Master of Data Science,MDataSc
Advanced Algorithms & Data Structures,COMP7500,"Analysis of algorithms. Solution of summation & recurrence equations. Algorithm paradigms: divide-&-conquer, greedy algorithms, dynamic programming, backtracking, branch-&-bound. Advanced graph algorithms. Amortised analysis. Self-adjusting data structures. Complexity classes, NP-completeness. Approximation algorithms. Randomized algorithms.","Analyse, compare, and contrast algorithms and data structures by evaluating their time and space complexity.| Apply algorithm design paradigms to generate novel solutions.| Design abstract solutions based on graph algorithms, dynamic programming, and greedy methods.| Develop efficient implementations to abstract solutions.| Perform amortised analysis of data structures and algorithms.| Explain the theory and relevance of theoretical complexity classes.",COMP7505,Master of Data Science,MDataSc
Algorithms & Data Structures,COMP7505,"Data structures & types, mapping of abstract information structures into representations on primary & secondary storage. Analysis of time & space complexity of algorithms. Sequences. Lists. Stacks. Queues. Sets, multisets, tables. Trees. Sorting. Hash tables. Priority queues. Graphs. String algorithms.",Understand the internal workings of fundamental data structures and algorithms| Determine the running time and memory space usage of common algorithms.,"CSSE7023, MATH7861, MATH7501",Master of Data Science,MDataSc
Numerical Methods in Computational Science,COSC7500,"This course provides an introduction to basic numerical methods and computer programming for the solution of a number of classes of scientific problems. The course is interdisciplinary in nature, incorporating a number of case studies in biology, physics, chemistry, and engineering.","understand the numerical methods used in computational science| be able to apply numerical methods to problems in practice.| develop, use, and understand software which uses numerical methods| understand the role of numerical methods in science| engage in scientific and technical communication","NA",Master of Data Science,MDataSc
High-Performance Computing,COSC7502,"This course teaches the methods and technology of high-performance computing and its usage in solving scientific problems.  Major topics include: grid and cluster computing, parallel computing, agent-based modelling and simulation.  The course is interdisciplinary in nature, incorporating a number of case studies in biology, physics, chemistry, and engineering.","Anticipate the key attributes, strengths and limitations when solving scientific problems using the main paradigms of contemporary high-performance computing.| Interpret the key elements of techniques for computational modelling and simulation of large-scale scientific systems, including their main
strengths and limitations.| Relate to all stages of solving a scientific problem using high performance computing: formulation, implementation, and evaluation of the techniques and technologies used.| Write programs that efficiently implement solutions on shared memory and distributed systems.| Apply performance analysis techniques to discover and resolve inefficiencies in computer code.","COSC2500, CSSE2002, CSSE7023",Master of Data Science,MDataSc
Advanced Software Engineering,CSSE7023,"Working on large and complex software systems and ensuring those systems remain maintainable requires disciplined, individual practices. Software must be well-specified, well-implemented and well-tested. This course covers concepts and techniques in modern programming languages that help support good practice (such as OO concepts, genericity and exception handling) with specific application to file IO and GUIs in Java.","Implement object-oriented programs according to their specifications.| Test components of object-oriented programs (using a testing framework).| Write, document and analyse code which uses language features such as inheritance, interfaces, exceptions and I/O.| Judge whether a program follows good practice.| Write, interpret and critique specifications for program modules (e.g. classes or interfaces).",CSSE7030,Master of Data Science,MDataSc
Design Thinking,DECO7110,"This course introduces students to the design process, working through the discovery, interpretation, ideation, experimentation and evolution of design solutions. Through short collaborative design projects, students develop essential design skills of seeing, imagining and communicating in order to generate, iterate, evolve and communicate design concepts. Subjects such as design processes, thinking methods, brainstorming & idea generation, user focussed thinking and aesthetics are covered during the course.","Apply specific thinking techniques and design methods to develop unique designs| Conduct primary research, observation and analysis to identify and critique design opportunities| Communicate design concepts effectively and aesthetically using visual and discursive media| Understand and apply the basic elements of human-centred design: research, analysis, participation, generation, prototyping, evaluation and iteration| Understand and apply ethical principles in the design of systems for people.| Demonstrate the ability to plan, organise and carry out a design process collaboratively within a team| Develop appropriate strategies for addressing potential conflicts and problems that can occur when working in groups","NA",Master of Data Science,MDataSc
Elements of Econometrics,ECON7310,"Introductory applied econometric course for students with basic economic statistics background. Topics covered include: economic models and role of econometrics, linear regression, general linear model, hypothesis testing, specification testing, dummy variables, simple dynamic models and simple cointegration models. Tutorial problems are solved using a relevant econometrics program.","Understand and explain key concepts and workhorse models in applied econometrics| Get hands-on experience in applying econometric methods to real-world data and learn the correct way to report and interpret empirical results| Know how to choose and implement appropriate econometric techniques to conduct estimation, prediction, and statistical inference| Know how to examine the internal and external validities of econometric models applying to specific empirical problems| Learn how to use proper econometric methods for economic research, policy evaluation, and business analysis",ECON1310,Master of Data Science,MDataSc
Applied Econometrics for Macroeconomics and Finance,ECON7350,"Econometric tools that apply to financial and macroeconomics data. Core content includes: characteristics of time series data; capital asset pricing models; co-integrated models; volatility models; models of price changes. Applications include models of stock prices, derivatives, exchange rates, interest rates.",Describe the principles of univariate stochastic processes.| Estimate and forecast with univariate time series models.| Explain how the modelling of equilibrium relations and the concept of co-integration relate to each other.| Apply common volatility models to obtain inference from data generated by financial processes.| Assemble and estimate a multivariate time series model.| Explain the role of endogeneity and non-linearity in macroeconomic and financial models,"ECON7310, ECON7020, ECON7310, ECON7002, FINM7401, BSFN7401, COMM7501, ECON2300, ECON2020, ECON2300, ECON1020, FINM2401, COMM2501, BSFN2401",Master of Data Science,MDataSc
Financial Econometrics,ECON7390,This course gives an introduction to various aspects of financial econometrics. Characteristics of financial data will be studied and several major econometric models used in finance will be surveyed. Students learn how to analyse financial data and are introduced to some of the major tools used in both in the literature and by practitioners.,"Understand the nature of financial data.| Being able to descriptively summarise financial data.| Estimation of parameters of distributions.| Evaluate and estimate value at risk and expected shortfall models. Risk management.| Understand the nature of statistical dependence. Multivariate distributions. Conditional distributions. Conditional moments. Conditional quantiles.| Parametric (linear and nonlinear), nonparametric and semiparametric regression.| Understand time dependence in financial data. ARMA processes. Stationarity.| Specification of time-varying parameter models within state space models. Use Kalman filtering and smoothing to produce estimates of time-varying states.| Understand the nature of financial volatility. Garch models. Stochastic volatility.| High frequency financial data.","ECON3350, ECON7350",Master of Data Science,MDataSc
Finance,FINM7401,"Provides a comprehensive introduction to financial management & financial analysis. Focuses on creating shareholder value. Topics include the time value of money, stock & bond valuation, capital budgeting & net present value, risk & diversification, & the Capital Asset Pricing Model.","Understand what corporate finance is, the role of the corporate manager, ethical issues and corporate responsibility, and the goal of financial management.| Apply financial mathematics to problems on valuation and decision making and evaluate the strengths and weaknesses of the various financial decision-making techniques.| Apply and evaluate the basic concepts of risk in a financial context, and the approaches adopted in finance to minimise this risk.| Evaluate scenarios using the capital asset pricing model (CAPM) and the weighted average cost of capital (WACC).","NA",Master of Data Science,MDataSc
Portfolio Management,FINM7403,Provides students with techniques for evaluating investments on an individual basis and in the context of portfolios. Techniques for analysing investments focus on maximising expected returns while minimising risk. The most powerful way of achieving this objective is by creating a portfolio of investments.,"Analyse and evaluate accounting, financial and non-financial information relevant to the task of asset allocation and security selection| Assess the value of a financial asset using a variety of accepted methods| Explain and evaluate the risks associated with investments on portfolio and security levels| Evaluate the performance of a portfolio and portfolio manager| Apply theory to the analysis of real world cases, and employ databases and software commonly used in industry.",FINM7065,Master of Data Science,MDataSc
Financial Mathematics,MATH7039,"Introduction to financial mathematics and its applications.  Mathematical models of annuities, equity and fixed-income products, futures and forward contracts, the term structure of interest rates and investment returns.","Understand the fundamental nature of financial markets and the role played by financial mathematicians| Model the cash flows of a range of financial contracts in discrete and continuous time| Understand and derive the relationships between interest rates across different time periods| Define, derive and use the compound interest functions of relevance to financial mathematicians",,Master of Data Science,MDataSc
Computation in Financial Mathematics,MATH7049,"Introduction to computational methods in finance & applications. Topics from binomial trees, numerical solution of stochastic differential equations, and numerical solution of Black-Scholes like partial differential equations.","Use binomial trees (lattice methods) to price financial derivatives with focus on European and American-style, and barrier (path-dependent) options.| Develop efficient Monte Carlo simulation  and effective variance reduction techniques for pricing options, with focus on European, American style (early exercise), and Asian (path-dependent) options.| Derive partial differential equations arising in option pricing, and solve them efficiently numerically, with focus on European, American-style (early exercise) and Asian (path-dependent) options.| Understand the concepts of convergence and stability of numerical partial differential equation methods,  and be able to carry out relevant analysis.| Understand and be able to develop numerical methods for pricing derivatives under more realistic models, such as local or stochastic volatility, or stochastic interest rates.",,Master of Data Science,MDataSc
Financial Calculus,MATH7091,"Topics from financial calculus including financial derivatives & arbitrage, asset prices, price dynamics, continuous-time hedging, Brownian motion, Martingales, stochastic integration, solving stochastic differential equations & stochastic control.","Use the binomial model to develop and understand basic concepts in risk-neutral pricing and to numerically approximate the price of an option.| Identify and construct Brownian motion, and prove and work with its basic properties.  Understand and work with multi-dimensional Brownian motion.| Understand and work with stochastic processes, in particular martingales, in continuous time.| Derive, understand, and work with the properties of the Ito integrals.  Understand and work with basic notions surrounding the concept of an Ito process.| Solve linear and nonlinear stochastic differential equations, in particular those used to model the evolution of asset prices.| Understand and work with the standard Black-Scholes market model, in particular notions such as arbitrage, risk-neutral or equivalent martingale measure, market completeness, and the fundamental theorems of asset pricing.| Understand and appreciate the two fundamental approaches to derivative security pricing: the PDE and the risk-neutral approaches.| Derive the Black-Scholes model for European options via both the PDE and the risk-neutral approaches.| Understand and appreciate the link between the PDE and the risk-neutral approaches via the Feynman-Kac theory.| Understand and work with some basic short-rate models of the yield curve.| Apply stochastic calculus tools to solve a range of practical problems arising in financial mathematics.","NA",Master of Data Science,MDataSc
Fundamentals of Marketing,MKTG7501,"Introduction to marketing management; consumer behaviour; marketing research & segmentation; product life cycle theory; product & pricing strategies; distribution & logistics; promotional strategy including advertising & personal selling; marketing organisation, planning & control; international marketing, services marketing & marketing for not-for-profit organisations.","Communicate an appreciation for the importance of marketing to business success in a range of contexts.| Explain the central role of the customer, whether individual or organisational, in the marketing process.| Evaluate situational influences on marketing across a range of industries and companies.| As a cooperative group, collect and analyse evidence to determine competitive advantage, target market and position.| Gather and analyse marketing evidence to evaluate and determine the effectiveness of marketing mix strategies.","NA",Master of Data Science,MDataSc
Consumer & Buyer Behaviour,MKTG7503,"Behavioural study of buyer behaviour, cultural & social factors, personality, learning, attitude theory, brand loyalty, diffusion of innovations, models of consumer behaviour.","Define, illustrate and critically analyse the cognitive, behavioural and cultural theories that inform an understanding of consumer behaviour.| Appreciate and evaluate the range of theories that can be applied to understanding aspects of consumers values, personality, learning, buying decision-making, gender, lifestyles, social class and consumption culture.| Complete a research project that demonstrates creativity and an ability to apply theory, and present research that informs a contemporary understanding of consumer behaviour relevant to marketing management.| Demonstrate effective communication abilities in making consumer and marketing decisions.",MKTG7501,Master of Data Science,MDataSc
Market & Consumer Research,MKTG7510,"This course is about market and consumer research, knowledge of which fundamentally informs marketing strategy and public policy making.  It is an advanced level course that overviews the market research process and provides insight into contemporary market research practices.  The format is a lecture/seminar that emphasises instructor guided discussion of relevant market and consumer research practices.","Obtain in-depth knowledge of the principles of market research, including problem formulation, research design, sampling, measurement, data collection and data analysis.| Prepare written market research proposals and articulate market research methods concepts in a business setting| Design market research studies for collecting the information required for decision making for a given business| Critically evaluate research designs used in market research studies| Recognise the ethical and social implications of market and consumer research.",MKTG7501,Master of Data Science,MDataSc
Introduction to Epidemiology,PUBH7600,"This course covers: definition and history of Epidemiology; measures of disease prevalence, incidence and risk; study designs; measures of association between exposure and disease; chance, bias, confounding, mediation and effect-modification; association and causation; critical appraisal and integration of the evidence; outbreaks and surveillance; disease prevention; screening; current challenges and future directions.","Recognise and explain the role, strengths and challenges of the epidemiologic approach in contributing to our understanding of health and illness| Calculate and interpret measures of disease frequency, and measures of association between an exposure and an outcome| Identify and compare the major study designs within observational and interventional epidemiology| Identify and differentiate between major sources of bias, confounding, effect modifiers and mediators, and predict their potential effects on measures of association| Assess whether observed associations are likely to be causal or non-causal| Critically appraise published epidemiological studies using a logical framework to ascertain their internal and external validity| Apply epidemiological concepts as they relate to specialised fields of epidemiology, including infectious disease epidemiology, disease prevention and screening","NA",Master of Data Science,MDataSc
Deep Learning,STAT3007,"Deep learning has become a much sought-after game-changing technology that has enabled breakthroughs in applications such as intelligent virtual assistants, medical diagnosis, recommender systems, and autonomous driving.","Understand and explain the intuition, ideas and theory of deep learning algorithms and models| Assess whether a deep learning algorithm is effective and appropriate for an application| Propose suitable deep learning solutions and implement them for real world problems| Effectively explain deep learning solutions in the form of oral presentations and reports","STAT2004, STAT2203, MATH2504, CSSE2002",Master of Data Science,MDataSc
Mathematical Statistics,STAT7301,"This course provides an accessible, yet detailed, account of contemporary mathematical statistics. Topics include: Theory of linear models; likelihood methods; exponential families; Bayesian statistics; re-sampling methods.","Understand of the main concepts of mathematical statistics, and use this understanding to solve a range of practical and theoretical problems in statistics.| Recognise the role of Monte Carlo methods in modern statistics, and apply Monte Carlo techniques to simple problems.| Apply the Bayesian approach to statistical inference, and understand its significance.","MATH2000, STAT2003, STAT2004",Master of Data Science,MDataSc
Probability Models & Stochastic Processes,STAT7304,"Description of probability models. Generating functions & transforms. Limit laws. Markov chains in discrete & continuous time. Stochastic models in epidemics, finance, population biology, genetics, reliability & telecommunications. Simulation methods. Markov chain Monte Carlo. Inference for stochastic processes. Stationary processes. Time series.",Formulate and solve probabilistic problems in the framework of rigourous probability theory| Recognize and analyze stochastic models.,"MATH2000, STAT2003",Master of Data Science,MDataSc
Statistical Analysis of Genetic Data,STAT7306,"This course teaches the why and how of statistical methods and their computer applications to analyse genome-wide genetic data and phenotypes on large numbers of individuals. Genetic data sets are usually large comprising thousands of individuals. Examples of typical genetic data sets include phenotypic records with a recorded pedigree structure of relationships between individuals or disease cases and controls with DNA polymorphisms measured at millions of locations in the genome. Major topics include: linear mixed models for estimation and prediction, genome-wide association studies, multiple trait analyses. The course focusses on applications in human and livestock genetics and genomics. There is a strong element of hands-on analyses of real-world datasets using R and GCTA.","Recognise the advantages and limitations of key statistical models for the analysis of genetic data| Understand the nature of genetic data, and understand how to apply key methods for the analysis of genetic data| Generate genetic data through simulation| Use the statistical packages R and GCTA appropriately for the analysis and graphical representation of data| Make appropriate decisions about analyses to undertake on a genetic data set| Communicate the results of statistical analysis of genetic data clearly and accurately| Understand the ethical implications of working with genetic data","STAT2004, STAT2203, STAT7203, STAT7174",Master of Data Science,MDataSc
Advanced Probability & Stochastic Processes I,STAT7504,(offered in even years only),Understand and apply the topics that were chosen for this course.,STAT3004,Master of Data Science,MDataSc
Advanced Probability & Stochastic Processes II,STAT7505,(offered in odd years only). State of the art in advanced probability and stochastic processes. The selection of topics will depend on the research interest of the lecturer.,"Understand the measure-theoretic foundations of probability. 
Provide proofs of fundamental theorems in probability.",STAT3004,Master of Data Science,MDataSc
Longitudinal & Correlated Data,STAT7610,This course covers methods to analyse data from longitudinal (repeated measures) epidemiological or clinical studies; paired data; the effect of non-independence on comparisons within and between clusters of observations; methods for continuous outcomes:  normal mixed effects. ,"Recognise the existence of correlated or hierarchical data structures, and describe the limitations of standard methods in these settings;| Develop and analytically describe an appropriate model for longitudinal or correlated data based on subject matter considerations;| Be proficient at using statistical software packages (Stat & SAS) to properly model and perform computations for longitudinal data analyses, and to correctly interpret results;| Express the results of statistical analyses of longitudinal data in language suitable for communication to medical investigators or publication in biomedical or epidemiological journal articles.","STAT7607, STAT7608",Master of Data Science,MDataSc
