"","Course","Course_code","Unit","Unit_code","Overview","Outcomes","Prohibition","Prerequisite","Corequisite","Corequisites"
"1","Master of Data Science","MDS","Visual Analytics","COMP5048","Visual Analytics aims to facilitate the data analytics process through Information Visualisation. Information Visualisation aims to make good pictures of abstract information, such as stock prices, family trees, and software design diagrams. Well designed pictures can convey this information rapidly and effectively. The challenge for Visual Analytics is to design and implement effective Visualisation methods that produce pictorial representation of complex data so that data analysts from various fields (bioinformatics, social network, software visualisation and network) can visually inspect complex data and carry out critical decision making. This unit will provide basic HCI concepts, visualisation techniques and fundamental algorithms to achieve good visualisation of abstract information. Further, it will also provide opportunities for academic research and developing new methods for Visual Analytic methods.","LO1. select appropriate visual variables, space utilisation methods, and levels of organisation of visual components, to depict complex data
                                                
                                                    LO2. select, apply, and modify visualisation methods suited to a given problem domain, in order to facilitate data analytic process through visual inspection
                                                
                                                    LO3. understand basic computational concepts, techniques, and algorithms to produce good visualisation of abstract data
                                                
                                                    LO4. understand the basic human-computer interaction principles, which influence the production of good/effective visualisation
","None","None",NA,"None"
"2","Master of Data Science","MDS","Principles of Data Science","COMP5310","The focus of this unit is on understanding and applying relevant concepts, techniques, algorithms, and tools for the analysis, management and visualisation of data- with the goal of enabling discovery of information and knowledge to guide effective decision making and to gain new insights from large data sets.  
To this end, this unit of study provides a broad introduction to data management, analysis, modelling and visualisation using the Python programming language. Development of custom software using the powerful, general-purpose Python scripting language; Data collection, cleaning, pre-processing, and storage using various databases; Exploratory data analysis to understand and profile complex data sets; Mining unlabelled data to identify relationships, patterns, and trends; Machine learning from labelled data to predict into the future; Communicate findings to varied audiences, including effective data visualisations.  
Core data science content will be taught in normal lecture + tutorial delivery mode. Python programming will be taught through an online learning platform in addition to the weekly face-to-face lecture/tutorials. The unit of study will include hands-on exercises covering the range of data science skills above.","LO1. select statistical techniques appropriate for evaluation of a predictive model that is based on data analysis, and justify this choice
                                                
                                                    LO2. select statistical techniques appropriate for summarisation and analysis of a data set, and justify this choice
                                                
                                                    LO3. apply concepts and terms from social science to describe and analyse the role of a data analysis task in its organisational context
                                                
                                                    LO4. understand the role of data science in decision-making
                                                
                                                    LO5. understand the technical issues that are present in the stages of a data analysis task and the properties of different technologies and tools that can be used to deal with the issues
                                                
                                                    LO6. process large data sets using appropriate technologies
                                                
                                                    LO7. carry out (in guided stages) the whole design and implementation cycle for creating a pipeline to analyse a large heterogenous dataset
                                                
                                                    LO8. seek details of how to use a method or tool in the data analytic process
                                                
                                                    LO9. communicate the results produced by an analysis pipeline, in oral and written form, including meaningful diagrams
                                                
                                                    LO10. communicate the process used to analyse a large data set, and justify the methods used.
","INFO3406","None",NA,"None"
"3","Master of Data Science","MDS","Machine Learning and Data Mining","COMP5318","Machine learning is the process of automatically building mathematical models that explain and generalise datasets. It integrates elements of statistics and algorithm development into the same discipline. Data mining is a discipline within knowledge discovery that seeks to facilitate the exploration and analysis of large quantities for data, by automatic and semiautomatic means. This subject provides a practical and technical introduction to machine learning and data mining.  
Topics to be covered include problems of discovering patterns in the data, classification, regression, feature extraction and data visualisation. Also covered are analysis, comparison and usage of various types of machine learning techniques and statistical techniques.","LO1. understand the basic principles, strengths, weaknesses and applicability of machine learning algorithms for solving classification, regression, clustering and reinforcement learning tasks.
                                                
                                                    LO2. have obtained practical experience in designing, implementing and evaluating machine learning algorithms
                                                
                                                    LO3. have gained practical experience in using machine learning software and libraries
                                                
                                                    LO4. present and interpret data and information in verbal and written form
","None","None",NA,"None"
"4","Master of Data Science","MDS","Computational Statistical Methods","STAT5003","The objectives of this unit of study are to develop an understanding of modern computationally intensive methods for statistical learning, inference, exploratory data analysis and data mining. Advanced computational methods for statistical learning will be introduced, including clustering, density estimation, smoothing, predictive models, model selection, combinatorial optimisation methods, sampling methods, the Bootstrap and Monte Carlo approach. In addition, the unit will demonstrate how to apply the above techniques effectively for use on large data sets in practice.","LO1. Formulate domain/context specific questions and identify appropriate statistical analysis.
                                                
                                                    LO2. Formulate, evaluate and interpret appropriate statistical models to describe the relationships between multiple factors.
                                                
                                                    LO3. Perform statistical machine learning using a given classifier and create a cross-validation scheme to calculate the prediction accuracy.
                                                
                                                    LO4. Understand, perform and interpret various unsupervised machine learning methods
                                                
                                                    LO5. Construct and implement resampling techniques to understand the behaviour of statistical models.
                                                
                                                    LO6. Create a reproducible report to communicate outcomes using a programming language.
","None","None",NA,"None"
"5","Master of Data Science","MDS","Data Science Capstone Project","DATA5703","The Data Science Capstone project provides an opportunity for students to carry out a defined piece of independent research or design. These skills include the capacity to define a research or design question, show how it relates to existing knowledge and carry out the research or design in a systematic manner. Students will be expected to choose a research/development project that demonstrates their prior learning in the data science domain (MDS). The results will be presented in a final project presentation and report. It is not expected that the project outcomes from this unit will represent a significant contribution to new knowledge. The unit aims to provide students with the opportunity to carry out a defined piece of independent investigative research or design work in a setting and manner that fosters the development of data science skills in research or design.","LO1. utilise prior domain knowledge to define and develop a project relevant to a data science domain (MDS)
                                                
                                                    LO2. initiate, formulate and plan a semester-long DS project, incorporating risk mitigation strategies and following the plan methodically
                                                
                                                    LO3. analyse and synthesise information, draw appropriate conclusions and present those conclusions in context, with due consideration of methods and assumptions involved
                                                
                                                    LO4. demonstrate knowledge of recent DS literature and possess an ability to apply investigative research to their own project
                                                
                                                    LO5. document, report and present project work undertaken to engage an academic and/or professional audience
                                                
                                                    LO6. develop, substantiate and articulate professional positions on issues relevant to the chosen area of practice, critically reflect on and evaluate the outcomes and process of the project
","DATA5707 or DATA5708 or DATA5709","A candidate for the MDS who has completed 24 credit points from Core or Elective units of study may take this unit",NA,"None"
"6","Master of Data Science","MDS","Data Science Capstone A","DATA5707","The Data Science Capstone project provides an opportunity for students to carry out a defined piece of independent research or design. These skills include the capacity to define a research or design question, show how it relates to existing knowledge and carry out the research or design in a systematic manner. Students will be expected to choose a research/development project that demonstrates their prior learning in the data science domain. The results will be presented in a final project presentation and report. It is not expected that the project outcomes from this unit will represent a significant contribution to new knowledge. The unit aims to provide students with the opportunity to carry out a defined piece of independent investigative research or design work in a setting and manner that fosters the development of data science skills in research or design. Eligible students for the Data Science Capstone project will be required to complete both DATA5707 (6 CPS) and DATA5708 (6 CPS), totalling 12 CPS.","LO1. utilise prior domain knowledge to define and develop a project relevant to a data science domain (MDS)
                                                
                                                    LO2. initiate, formulate and plan a semester-long DS project, incorporating risk mitigation strategies and following the plan methodically
                                                
                                                    LO3. analyse and synthesise information, draw appropriate conclusions and present those conclusions in context, with due consideration of methods and assumptions involved
                                                
                                                    LO4. demonstrate knowledge of recent DS literature and possess an ability to apply investigative research to their own project
                                                
                                                    LO5. document, report and present project work undertaken to engage an academic and/or professional audience
                                                
                                                    LO6. develop, substantiate and articulate professional positions on issues relevant to the chosen area of practice, critically reflect on and evaluate the outcomes and process of the project
","DATA5703 or DATA5709. Eligible students of the Data Science Capstone Project may choose either DATA5703 or (DATA5707 and DATA5708) or DATA5709","A part-time enrolled candidate for the MDS who has completed 24 credit points from Core or Elective units of study may take this unit",NA,"None"
"7","Master of Data Science","MDS","Data Science Capstone B","DATA5708","The Data Science Capstone project provides an opportunity for students to carry out a defined piece of independent research or design. These skills include the capacity to define a research or design question, show how it relates to existing knowledge and carry out the research or design in a systematic manner. Students will be expected to choose a research/development project that demonstrates their prior learning in the data science domain. The results will be presented in a final project presentation and report. It is not expected that the project outcomes from this unit will represent a significant contribution to new knowledge. The unit aims to provide students with the opportunity to carry out a defined piece of independent investigative research or design work in a setting and manner that fosters the development of IT skills in research or design. Eligible students for the Data Science Capstone project will be required to complete both DATA5707 (6 CPS) and DATA5708 (6 CPS), totalling 12 CPS.","LO1. utilise prior domain knowledge to define and develop a project relevant to a data science domain (MDS)
                                                
                                                    LO2. initiate, formulate and plan a semester-long DS project, incorporating risk mitigation strategies and following the plan methodically
                                                
                                                    LO3. analyse and synthesise information, draw appropriate conclusions and present those conclusions in context, with due consideration of methods and assumptions involved
                                                
                                                    LO4. demonstrate knowledge of recent DS literature and possess an ability to apply investigative research to their own project
                                                
                                                    LO5. document, report and present project work undertaken to engage an academic and/or professional audience
                                                
                                                    LO6. develop, substantiate and articulate professional positions on issues relevant to the chosen area of practice, critically reflect on and evaluate the outcomes and process of the project
","DATA5703 or DATA5709. Eligible students of the Data Science Capstone Project may choose either DATA5703 or (DATA5707 and DATA5708) or DATA5709","A part-time enrolled candidate for the MDS who has completed 24 credit points from Core or Elective units of study may take this unit",NA,"DATA5707"
"8","Master of Data Science","MDS","Data Science Capstone Project - Individual","DATA5709","The Data Science Capstone project unit provides an opportunity for high-achieving students (WAM of 75+) to carry out an individual defined piece of work with academics of our school. The students will acquire skills including the capacity to define a project, show how it relates to existing work, and carry out the project in a systematic manner. Students will apply their gained knowledge of units of study in the data science domain (MDS). The results will be presented in a final project presentation and report. The unit aims to provide students with the opportunity to carry out an advanced project work in a setting and manner that fosters the development of data science skills in research or design.","LO1. utilise prior domain knowledge to define and develop a project relevant to a data science domain (MDS)
                                                
                                                    LO2. initiate, formulate and plan a semester-long DS project, incorporating risk mitigation strategies and following the plan methodically
                                                
                                                    LO3. analyse and synthesise information, draw appropriate conclusions and present those conclusions in context, with due consideration of methods and assumptions involved
                                                
                                                    LO4. demonstrate knowledge of recent DS literature and possess an ability to apply investigative research to their own project
                                                
                                                    LO5. document, report and present project work undertaken to engage an academic and/or professional audience
                                                
                                                    LO6. develop, substantiate and articulate professional positions on issues relevant to the chosen area of practice, critically reflect on and evaluate the outcomes and process of the project
","DATA5703 or DATA5707 or DATA5708","A candidate for the MDS who has completed 24 credit points from Core or Elective units of study, and has a WAM of 75+ may take this unit",NA,"None"
"9","Master of Data Science","MDS","Natural Language Processing","COMP5046","This unit introduces computational linguistics and the statistical techniques and algorithms used to automatically process natural languages (such as English or Chinese). It will review the core statistics and information theory, and the basic linguistics, required to understand statistical natural language processing (NLP). Statistical NLP is used in a wide range of applications, including information retrieval and extraction; question answering; machine translation; and classifying and clustering of documents. This unit will explore the key challenges of natural language to computational modelling, and the state of the art approaches to the key NLP sub-tasks, including tokenisation, morphological analysis, word sense representation, part-of-speech tagging, named entity recognition and other information extraction, text categorisation, phrase structure parsing and dependency parsing. You will implement many of these sub-tasks in labs and assignments. The unit will also investigate the annotation process that is central to creating training data for statistical NLP systems. You will annotate data as part of completing a real-world NLP task. 
","LO1. apply basic linguistic knowledge to identifying the structure of language
                                                
                                                    LO2. have developed formal models to express natural language phenomenon
                                                
                                                    LO3. have developed machine learning and deep learning for solving natural language tasks
                                                
                                                    LO4. evaluate the performance of natural language processing systems
                                                
                                                    LO5. implement and debug large NLP systems in a clean and structured manner
                                                
                                                    LO6. apply machine learning/deep learning methods and information theory principles to modelling language.
","None","None",NA,"None"
"10","Master of Data Science","MDS","Advanced Machine Learning","COMP5328","Machine learning models explain and generalise data. This course introduces some fundamental machine learning concepts, learning problems and algorithms to provide understanding and simple answers to many questions arising from data explanation and generalisation. For example, why do different machine learning models work? How to further improve them? How to adapt them to different purposes?","LO1. Present the design and evaluation of a machine learning algorithm, describing the design processes and evaluation
                                                
                                                    LO2. Understand the variance and bias trade-off in machine learning algorithms
                                                
                                                    LO3. Understand and analyse some machine learning algorithms and have some knowledge to further improve them
                                                
                                                    LO4. Understand and analyse some machine learning problems and have some knowledge to adapt the existing machine learning models to different purposes
                                                
                                                    LO5. Implement machine learning algorithms from peer-reviewed papers
                                                
                                                    LO6. Understand the nature of the statistical foundations of designing or adapting learning algorithms
                                                
                                                    LO7. At the completion of this unit, you should be able to demonstrate knowledge of the introduced machine learning models and the relative strengths and weaknesses of each and their most appropriate uses
                                                
                                                    LO8. At the completion of this unit, you should be able to demonstrate knowledge of methods to analyse machine learning algorithms, such as hypothesis complexities and generalisation bounds.
","None","None",NA,"COMP5318 OR COMP3308 OR COMP3608"
"11","Master of Data Science","MDS","Deep Learning","COMP5329","This course provides an introduction to deep machine learning, which is rapidly emerging as one of the most successful and widely applicable set of techniques across a range of applications. Students taking this course will be exposed to cutting-edge research in machine learning, starting from theories, models, and algorithms, to implementation and recent progress of deep learning. Specific topics include: classical architectures of deep neural network, optimization techniques for training deep neural networks, theoretical understanding of deep learning, and diverse applications of deep learning in computer vision.","LO1. demonstrate knowledge of the broad range of deep learning applications, such as image classification, object detection, image segmentation and face recognition
                                                
                                                    LO2. use deep learning software to create deep learning prototypes
                                                
                                                    LO3. evaluate deep learning algorithms
                                                
                                                    LO4. demonstrate knowledge of the main methods of deep neural network design and evaluation and the relative strengths and weaknesses of each, and their most appropriate uses
                                                
                                                    LO5. model application problems as deep learning problems
                                                
                                                    LO6. apply and tailor known deep learning algorithms for solving new challenging problems
                                                
                                                    LO7. present the design and evaluation of a deep learning prototype, defining the requirements, describing the design processes and evaluation.
","None","None",NA,"None"
"12","Master of Data Science","MDS","Advanced Data Models","COMP5338","This unit of study gives a comprehensive overview of post-relational data models and of latest developments in data storage technology.  
Particular emphasis is put on spatial, temporal, and NoSQL data storage. This unit extensively covers the advanced features of SQL:2003, as well as a few dominant NoSQL storage technologies. Besides in lectures, the advanced topics will be also studied with prescribed readings of database research publications.","LO1. At the completion of this unit, you should  understand various NoSQL data model including document store, key-value data model, spatial model, time series data models and more
                                                
                                                    LO2. At the completion of this unit, you should be able to write simple CRUD queries and implement aggregation in MongoDB and Neo4j.
                                                
                                                    LO3. At the completion of this unit, you should understand the index mechanisms in various database systems.
                                                
                                                    LO4. At the completion of this unit, you should be able to analyse and tune the query performance for MongoDB and Neo4j.
                                                
                                                    LO5. At the completion of this unit, you should understand key issues such as partition, replication and fault tolerance in distributed database systems.
                                                
                                                    LO6. At the completion of this unit, you should understand physical storage and their impacts on query performance
","None","None",NA,"None"
