"","Course","Course_code","Unit","Unit_code","Overview","Outcomes","Prohibition","Prerequisite","Corequisite","Corequisites"
"13","Master of Data Science","MDS","Cloud Computing","COMP5349","This unit covers topics of active and cutting-edge research within IT in the area of 'Cloud Computing'.  
Cloud Computing is an emerging paradigm of utilising large-scale computing services over the Internet that will affect individual and organization's computing needs from small to large. Over the last decade, many cloud computing platforms have been set up by companies like Google, Yahoo!, Amazon, Microsoft, Salesforce, Ebay and Facebook. Some of the platforms are open to public via various pricing models. They operate at different levels and enable business to harness different computing power from the cloud.  
In this course, we will describe the important enabling technologies of cloud computing, explore the state-of-the art platforms and the existing services, and examine the challenges and opportunities of adopting cloud computing. The unit will be organized as a series of presentations and discussions of seminal and timely research papers and articles. Students are expected to read all papers, to lead discussions on some of the papers and to complete a hands-on cloud-programming project.","LO1. describe and analyze the execution plan of various big data workloads
                                                
                                                    LO2. describe the fundamental techniques in cloud computing such as data center infrastructures, virtualization and container technology, partitioning, replication and fault tolerance
                                                
                                                    LO3. describe and compare key principles and implementation details of cloud services like infrastructure, platform, storage and software services
                                                
                                                    LO4. describe resource scheduling at various levels, e.g. VM, container and programming
                                                
                                                    LO5. explain various algorithms for distributed data consistency such as 2PC and Paxos
                                                
                                                    LO6. design and implement big data analytic workload using various frameworks
                                                
                                                    LO7. apply functional programming paradigm to design big data analytic workload
                                                
                                                    LO8. analyze the execution performance of big data analytic workload based on hardware configuration and parameter setting
                                                
                                                    LO9. evaluate the performance of various algorithms on a specific analytic workload.
","None","None",NA,"None"
"14","Master of Data Science","MDS","Multimedia Retrieval","COMP5425","The explosive growth of multimedia data, including text, audio, images and video has imposed unprecedented challenges for search engines to meet various information needs of users. This unit provides students with the necessary and updated knowledge of this field in the context of big data, from the information retrieval basics of a search engine, to many advanced techniques towards next generation search engines, such as content based image and video retrieval, large scale visual information retrieval, and social media.","LO1. perform functional analysis for specific application domain and specific users
                                                
                                                    LO2. conduct literature review in the field related to a given task
                                                
                                                    LO3. perform function design of a retrieval system
                                                
                                                    LO4. design technical solutions to solve a media retrieval problem with learned knowledge and techniques
                                                
                                                    LO5. explain the framework and key components of a general retrieval systems
                                                
                                                    LO6. reflect on the state of the art in multimedia retrieval
                                                
                                                    LO7. evaluate the advantages and shortcomings of a specific retrieval technique and solution
                                                
                                                    LO8. practice popular algorithms related to retrieval techniques, such as feature extraction and similarity measurement.
","None","None",NA,"None"
"15","Master of Data Science","MDS","Data Analytics and Business Intelligence","INFO5060","The frontier for using data to make decisions has shifted dramatically. High performing enterprises are now building their competitive strategies around data-driven insights that in turn generate impressive business results. This course provides an overview of Business Intelligence (BI) concepts, technologies and practices, and then focuses on the application of BI through a team based project simulation that will allow students to have practical experience in building a BI solution based on a real world case study.","LO1. Design and implement a business intelligence dashboard solution
                                                
                                                    LO2. Demonstrate thorough understanding of the conceptual foundations and technological underpinnings of data analytics and components of business intelligence architecture
                                                
                                                    LO3. Use library databases and search online material
                                                
                                                    LO4. Provide professional decision-making in developing a business intelligence solution. Exercise sound critical judgement in undertaking a real world Business Intelligence development case study.
                                                
                                                    LO5. Contribute to team work through the team assignments and presentations.
                                                
                                                    LO6. Present in-depth on a `customer` on a Business Intelligence Solution. Extensive consideration of theoretical and methodological issues regarding the solution proposed. Interpret and discuss issues and situations around the solution with due consideration of broad theoretical/practical context.
","None","None",NA,"None"
"16","Master of Data Science","MDS","Information Security Management","INFO5301","This unit of study gives a broad view of the management aspects of information security. We emphasise corporate governance for information security, organisational structures within which information security is managed, risk assessment, and control structures. Planning for security, and regulatory issues, are also addressed.","LO1. Communicate on information security issues to both managers and technical staff
                                                
                                                    LO2. List and outline major concerns and issues of managing information security
                                                
                                                    LO3. Define, describe and discuss management and governance aspects of information security
                                                
                                                    LO4. Describe risk management methodology and control structures as applied to the management of information security
                                                
                                                    LO5. Describe and characterise the attributes of information security management practices.
","None","None",NA,"None"
"17","Master of Data Science","MDS","Statistical Learning and Data Mining","QBUS6810","It is now common for businesses to have access to very rich information data sets, often generated automatically as a by-product of the main institutional activity of a firm or business unit. Data Mining deals with inferring and validating patterns, structures and relationships in data, as a tool to support decisions in the business environment.  This unit offers an insight into the main statistical methodologies for the visualization and the analysis of business and market data. It provides the tools necessary to extract information required for specific tasks such as credit scoring, prediction and classification, market segmentation and product positioning. Emphasis is given to business applications of data mining using modern software tools.","LO1. know the statistical theory required for business data mining and data analysis
                                                
                                                    LO2. identify which statistical tool is most relevant for specific business analytic tasks
                                                
                                                    LO3. identify the advantages and limitations of each method
                                                
                                                    LO4. extract information from large volumes of data readily available from the business environment
                                                
                                                    LO5. obtain and interpret a meaningful analytical result using a software package such as Python
                                                
                                                    LO6. work productively in a team
                                                
                                                    LO7. present and write about findings effectively.
","None","(ECMT5001 or QBUS5001 or STAT5003) and (BUSS6002 or COMP5310 or COMP5318)",NA,"None"
"18","Master of Data Science","MDS","Predictive Analytics","QBUS6840","To be effective in a competitive business environment, a business analyst needs to be able to use predictive analytics to translate information into decisions and to convert information about past performance into reliable forecasts. An effective analyst also should be able to identify the analytical tools and data structures to anticipate market trends. In this unit, students gain skills required to succeed in today's highly analytical and data-driven economy. The unit introduces the basics of data management, business forecasting, decision trees, logistic regression, and predictive modelling. The unit features corporate case studies and hands-on exercises to demonstrate the concepts presented.","LO1. Select and use the appropriate technique to analyse the structure of time series data
                                                
                                                    LO2. Analyse real business data considering the characteristics of time-series data.
                                                
                                                    LO3. Demonstrate proficiency in the use of statistical software, e.g. Python, for the implementation of predictive models
                                                
                                                    LO4. Select and use an appropriate technique to predict the future behaviour of business variables of interest, including the prediction of discrete outcomes.
                                                
                                                    LO5. Work productively and collaboratively in a team
","None","(QBUS5001 or ECMT5001 or STAT5003) and (BUSS6002 or COMP5310 or COMP5318)",NA,"None"
"19","Master of Data Science","MDS","Introduction to Complex Systems","CSYS5010","Globalisation, rapid technological advances, the development of integrated and distributed systems, cross-disciplinary technical collaboration, and the emergence of ""evolved"" (as opposed to designed) systems are some of the reasons why many systems have begun to be described as complex systems in recent times. Complex technological, biological, socio-economic and socio-ecological systems (power grids, communication and transport systems, food webs, megaprojects, and interdependent civil infrastructure) are composed of large numbers of diverse interacting parts and exhibit self-organisation and/or emergent behaviour. This unit will introduce the basic concepts of ""complex systems theory"", and focus on methods for the quantitative analysis and modelling of collective emergent phenomena, using diverse computational approaches such as agent-based modelling and simulation, cellular automata, bio-inspired algorithms, and game theory. Students will gain theoretical knowledge of complex adaptive systems, coupled with practical skills in computational simulation and forecasting using a range of modern toolkits.","LO1. understand and analyse the dynamics of complex systems using intermediate critical analysis skills
                                                
                                                    LO2. analyse and evaluate models of complex systems using scientific programming and the 'Modelling Loop'
                                                
                                                    LO3. Create, using a scientific modelling language such as NetLogo, multi-agent models of complex systems
                                                
                                                    LO4. understand the nature, structure, function and evolution of complex systems and emergent behaviour in multiple different fields
                                                
                                                    LO5. select and apply different approaches to analysing complex systems in different domains (e.g. game theory, dynamical systems, genetic algorithms)
                                                
                                                    LO6. design and evaluate large systems that satisfy structural and functional criteria within given domains and contexts integrating complex systems approaches.
","None","None",NA,"None"
"20","Master of Data Science","MDS","Data Analysis in the Social Sciences","DATA5207","Data science is a new, rapidly expanding field. There is an unprecedented demand from technology companies, financial services, government and not-for-profits for graduates who can effectively analyse data. This subject will help students gain a critical understanding of the strengths and weaknesses of quantitative research, and acquire practical skills using different methods and tools to answer relevant social science questions.  
This subject will offer a nuanced combination of real-world applications to data science methodology, bringing an awareness of how to solve actual social problems to the Master of Data Science. We cover topics including elections, criminology, economics and the media. You will clean, process, model and make meaningful visualisations using data from these fields, and test hypotheses to draw inferences about the social world.  
Techniques covered range from descriptive statistics and linear and logistic regression, the analysis of data from randomised experiments, model selection for prediction and classification tasks, to the analysis of unstructured text as data, multilevel and geospatial modelling, all using the open source program R. In doing this, not only will we build on the skills you have already mastered through this degree, but explore different ways to use them once you graduate.","LO1. demonstrate familiarity with the various ethical issues and professional standards around the gathering of data
                                                
                                                    LO2. demonstrate proficiency in the delivery of a small-scale project, and the management of the project from initial conception to delivery to evaluation
                                                
                                                    LO3. present data and reports of a high standard
                                                
                                                    LO4. autonomously collect, collate, assess and compare data from multiple sources, such as the Australian Bureau of Statistics and the Australian Data Archive. You will be able to discern the quality of data to a minute level, and be able to draw a broad range of insights from data of various degrees of statistical significance
                                                
                                                    LO5. apply established data analytical methodology in a sophisticated manner and have a medium degree of proficiency in methodological procedures to approach complex problems specifically related to the social sciences
                                                
                                                    LO6. utilise industry-leading concepts and frameworks in your pedagogy and direct formidable amounts of data for protracted, complex insights into areas such as polling data and demography
                                                
                                                    LO7. apply a theoretical understanding of statistical methods to practical problems around data gathering methodology, statistical significance and sample sizing, and autonomously create basic design frameworks for statistical modelling problems.
","None","None",NA,"None"
"21","Master of Data Science","MDS","Evaluating Learning Tech. Innovation","EDPC5012","This unit is intended to help students acquire the knowledge and skills needed to evaluate ICT-enhanced learning innovations.  It provides an introduction to the theory and practice of evaluations, drawing principles and methods from best practice in program evaluation and the areas of ICT-enhanced learning.  Attention is paid to a holistic approach to evaluation, stressing the need to plan, design and implement evaluation in context.  It is suitable for those with an interest in formal education, corporate training and professional development.","LO1. demonstrate an understanding of the general principles and practices of educational evaluation
                                                
                                                    LO2. understand the affordances and limitations of emerging digital evaluation methods
                                                
                                                    LO3. understand different evaluation approaches and techniques
                                                
                                                    LO4. articulate the benefits of taking holistic and responsive approaches to the evaluation of innovations
                                                
                                                    LO5. choose appropriately evaluation methods and techniques given the specific requirements of the particular task and context
                                                
                                                    LO6. apply principles and methods of educational evaluation to the evaluation of digital learning systems and resources
                                                
                                                    LO7. construct and pilot an evaluation instrument for evaluating a digital learning resource
                                                
                                                    LO8. construct an integrated evaluation framework for a specific evaluation task you need to tackle
","None","None",NA,"None"
"22","Master of Data Science","MDS","Learning Technology Research Frontiers","EDPC5025","This unit is designed for students interested in the newest research developments in the area of learning technology, and those who want to gain a deeper understanding of research methods and techniques, appropriate to the fields of the learning sciences and technologies. It is ideal for those students who want to explore the newest topics of their interest and simultaneously learn about research design in a collaborative peer-supported learning environment.  Students will learn to assess critically emergingdomains of learning technology innovation, understand different kinds of research methods and choose appropriate research methods for carrying out empirical studies.  Students will participate in debates, research projects.  The unit is student-led and involves proactive individual and collaborative exploration of topics.","LO1. discuss recent theoretical developments in the field of learning technologies and ICT-enhanced learning and teaching
                                                
                                                    LO2. conduct and write research literature review in the area of learning technologies
                                                
                                                    LO3. critically analyse and assess the merits and limitations of different kinds of research in the field of learning technologies
                                                
                                                    LO4. demonstrate an understanding of the main methodological research developments in the field of learning technologies
                                                
                                                    LO5. demonstrate an understanding of the learning technology research cycle
                                                
                                                    LO6. demonstrate a deep knowledge and abilities to make an informed judgement about the potential of emerging learning technology's domains.
                                                
                                                    LO7. demonstrate capacities to engage in and facilitate professional discussions about learning technology innovations
","None","None",NA,"None"
"23","Master of Data Science","MDS","Applied Healthcare Data Science","HTIN5005","The current health data revolution promises transformative advancements in healthcare services and delivery. However, the data generated are vast and complex. Extracting actionable understanding requires cross-disciplinary engagement between data science with healthcare. This unit explores the computational technologies involved in integrating and making sense of the breath of health data, and their use in better understanding the patient. Students will understand the data challenges presented by the various assays in which patients are quantified, spanning genetic testing to organ imaging. Students will explore how computational and machine learning models can span health data to derive integrated understanding of the links and patterns across them. They will employ such models in performing diagnosis and forecasting disease progression and intervention outcomes, thus enabling personalised medicine and supporting clinical decision making. This unit will develop students' understanding of current healthcare challenges, how these can be framed as data science questions, and how they can engage and apply their knowledge in cross-disciplinary ventures to improve healthcare.","LO1. Demonstrate knowledge of the broad range of computational problems in healthcare.
                                                
                                                    LO2. Use machine learning tools to address the needs in healthcare data science.
                                                
                                                    LO3. Evaluate the performance of machine learning tools in computational healthcare problems.
                                                
                                                    LO4. Apply and tailor known machine learning tools for solving new challenging healthcare problems.
                                                
                                                    LO5. Present the design and evaluation of a machine learning prototype for healthcare data science problems, defining the requirements and describing the design processes and evaluation.
                                                
                                                    LO6. Communicate and collaborate effectively across technological and healthcare/medicine disciplinary boundaries.
","None","None",NA,"None"
"24","Master of Data Science","MDS","Applied GIS and Spatial Data Analytics","ITLS6107","The world is increasingly filled with systems, devices and sensors collecting large amounts of data on a continual basis. Most of these data are associated with locations that represent everything from the movement of individuals travelling between activities to the flow of goods or transactions along a supply chain and from the location of companies to those of their current and future customers. Taking this spatial context into account transforms analyses, problem-solving and provides a powerful method of visualising the world. This is the essence of Geographic Information Systems (GIS) and this unit. This unit starts by introducing students to the 'building blocks' of GIS systems, including data structures, relational databases, spatial queries and analysis. The focus then moves on to sources of spatial data including Global Positioning System (GPS), operational systems such as smartcard ticketing and transaction data along with web-based sources highlighting both the potential and challenges associated with integrating each data source within a GIS environment. The unit is hands-on involving learning how to use the latest GIS software to analyse several problems of interest using real 'big data' sources and to communicate the results in a powerful and effective way. These include identifying potential demand for new services or infrastructure, creating a delivery and scheduling plan for a delivery firm or examining the behaviour of travellers or consumers over time and locations. This unit is aimed at students interested in the spatial impact of decision-making and on the potential for using large spatial datasets for in-depth multi-faceted analytics.","LO1. explain the underlying theory behind GIS and the challenges in its use
                                                
                                                    LO2. identify the features of GIS and when to apply them
                                                
                                                    LO3. formulate strategies for solving business problems, assess each strategy and recommend and defend a single solution
                                                
                                                    LO4. demonstrate the effective communication of geographic information, to business stakeholders using GIS
                                                
                                                    LO5. describe the processes necessary for the collection, processing and analysis of geographic data
                                                
                                                    LO6. apply the appropriate features of GIS tools to analyse geographic characteristics for the purpose of achieving business objectives.
","TPTM6180","None",NA,"None"
"25","Master of Data Science","MDS","Environmental Footprints and IO Analysis","PHYS5033","This unit of study will provide students with practical skills for carrying out environmental footprinting calculations: for individuals, companies, organisations or nations. In particular, this unit will provide a comprehensive introduction to input-output analysis for identifying impacts embodied in regional, national and global supply chains. This unit focuses on contemporary environmental applications such as emissions, energy-use, water, land, loss of animal and plant species; and also social applications such as employment, poverty and child labour. The unit first explores national and global economic and environmental accounting systems and their relationships to organisational accounting. Second, it presents cutting-edge techniques enabling the global analysis of environmental and social impacts of international trade. Third, it offers hands-on practical activities for mastering the input-output techniques conceived by Nobel Prize Laureate Wassily Leontief, and provides a step-by-step recipe for undertaking boundary-free environmental and social footprinting for sectors and organisations. Students will walk away from this unit equipped with useful skills needed to calculate footprints, and prepare sustainability reports for any organisation, city, region, or nation, using organisational data, economic input-output tables and environmental accounts. Students will also benefit from enrolling in PHYS5034 for a sound understanding of the role of input-output analysis within the field of Life-Cycle Assessment.","LO1. appreciate the national accounts and their role in society
                                                
                                                    LO2. brush-up your linear algebra and matrix operations skills
                                                
                                                    LO3. understand the fundamentals of input-output theory and environmental extensions
                                                
                                                    LO4. understand the workings of economic demand-pull model
                                                
                                                    LO5. understand the applications of input-output analysis to environmental issues
                                                
                                                    LO6. deepen your knowledge of multi-region input-output models, applications of footprinting and MATLAB for sustainability assessments
                                                
                                                    LO7. apply input-output analysis to applications from a range of disciplines
                                                
                                                    LO8. apply input-output analysis to business settings.
","None","None",NA,"None"
